Año,Mes,IPP-N,,,,,
2017,Abril,98.85195984083418,,,,,
2017,Mayo,95.36070581510613,,,,,
2017,Junio,98.37871496745885,,,,,
2017,Julio,100.38979992876315,,,,,
2017,Agosto,101.88416902151182,,,,,
2017,Septiembre,101.07731467228116,,,,,
2017,Octubre,98.43806966710157,,,,,
2017,Noviembre,98.39894909783992,,,,,
2017,Diciembre,96.6658809800047,,,,,
2018,Enero,91.07680235373611,,,,,
2018,Febrero,90.9261347242377,,,,,
2018,Marzo,91.93973217936272,,,,,
2018,Abril,90.8306483565985,,,,,
2018,Mayo,88.71144333046914,,,,,
2018,Junio,88.85391452247688,,,,,
2018,Julio,89.80251354209749,,,,,
2018,Agosto,89.98197905979633,,,,,
2018,Septiembre,90.04183365111473,,,,,
2018,Octubre,89.02708539962859,,,,,
2018,Noviembre,87.74584078250196,,,,,
2018,Diciembre,88.335671121338,,,,,
2019,Enero,91.73969865733245,,,,,
2019,Febrero,91.14905171803656,,,,,
2019,Marzo,93.05374005886844,,,,,
2019,Abril,89.56092330719511,,,,,
2019,Mayo,89.54297254970264,,,,,
2019,Junio,93.28674845493015,,,,,
2019,Julio,93.19658319319215,,,,,
2019,Agosto,92.44789944728699,,,,,
2019,Septiembre,93.654518292222,,,,,
2019,Octubre,94.19234569294179,,,,,
2019,Noviembre,93.07144350287896,,,,,
2019,Diciembre,91.95981483373139,,,,,
2020,Enero,93.66584494916692,,,,,
2020,Febrero,97.15054598513123,,,,,
2020,Marzo,99.24394012005274,,,,,
2020,Abril,97.43120562605806,,,,,
2020,Mayo,96.05889242920492,,,,,
2020,Junio,96.52886841498575,,,,,
2020,Julio,95.74749920387195,,,,,
2020,Agosto,91.25497640729179,,,,,
2020,Septiembre,87.77507209241139,,,,,
2020,Octubre,87.06224856669488,,,,,
2020,Noviembre,86.77619790402845,,,,,
2020,Diciembre,87.03225511626644,,,,,
2021,Enero,88.2617465529793,,,,,
2021,Febrero,89.84503511298021,,,,,
2021,Marzo,92.12291706969789,,,,,
2021,Abril,86.32613642173338,,,,,
2021,Mayo,87.0871117251322,,,,,
2021,Junio,89.92839182028855,,,,,
2021,Julio,90.21534976886625,,,,,
2021,Agosto,88.39180890367169,,,,,
2021,Septiembre,86.00309850672903,,,,,
2021,Octubre,85.28322796427891,,,,,
2021,Noviembre,88.27,,,,,
2021,Diciembre,91.16867793875423,,,,,
2022,Enero,91.16867793875423,,,,,
2022,Febrero,92.71937565632958,,,,,
2022,Marzo,100.60970286451266,,,,,
2022,Abril,102.1451008707699,,,,,
2022,Mayo,103.82324583846881,,,,,
2022,Junio,106.74792571668279,,,,,
2022,Julio,103.398558525028,,,,,
2022,Agosto,102.93974502000182,,,,,
2022,Septiembre,102.42912160522202,,,,,
2022,Octubre,102.15492781,,,,,
2022,Noviembre,102.2431738191,,,,,
2022,Diciembre,101.67341805325533,,,,,
2023,Enero,103.18500625178298,,,,,
2023,Febrero,102.08,,,,,
2023,Marzo,106.9850666114509,,,,,
2023,Abril,104.08101441415631,,,,,
2023,Mayo,100.64878647200568,,,,,
2023,Junio,106.39872791688548,,,,,
2023,Julio,110.56790200872655,,,,,
2023,Agosto,113.39640470044716,,,,,
2023,Septiembre,113.10828180675765,,,,,
2023,Octubre,111.7568389575871,,,,,
2023,Noviembre,110.81659141958129,,,,,
2023,Diciembre,110.16194364620848,,,,,
2024,Enero,112.47328966262779,,,,,
2024,Febrero,110.01620800053206,,,,,
2024,Marzo,115.90210724667054,,,,,
2024,Abril,112.04008019807856,,,,,
2024,Mayo,110.15682579624308,,,,,
2024,Junio,111.9608281795724,,,,,
2024,Julio,109.74519748323853,,,,,
2024,Agosto,107.58459216451759,,,,,
2024,Septiembre,106.88058359301911,,,,,
2024,Octubre,105.8996615994082,,,,,
2024,Noviembre,104.4814366800058,,,,,
2024,Diciembre,107.80177697207279,,,,,
2025,Enero,104.38,,,,,
2025,Febrero,107.18920588936956,,,,,
2025,Marzo,103.07933480110387,,,,,
2025,Abril,95.01,,,,,
