Año,Mes,IPM,,,,,
2018,Septiembre,93.79957575986727,,,,,
2018,Octubre,92.7483807967459,,,,,
2018,Noviembre,91.75352677174894,,,,,
2018,Diciembre,90.50113412123257,,,,,
2019,Enero,93.02867686285488,,,,,
2019,Febrero,90.66036068855563,,,,,
2019,Marzo,91.25018103400063,,,,,
2019,Abril,90.14090611015037,,,,,
2019,Mayo,88.10622470093224,,,,,
2019,Junio,92.7,,,,,
2019,Julio,92.69350742726668,,,,,
2019,Agosto,91.16784068602642,,,,,
2019,Septiembre,91.68066500848647,,,,,
2019,Octubre,95.0721243139318,,,,,
2019,Noviembre,88.05678357949337,,,,,
2019,Diciembre,89.98418532777934,,,,,
2020,Enero,88.74053989230713,,,,,
2020,Febrero,89.30107906197435,,,,,
2020,Marzo,96.61422177486233,,,,,
2020,Abril,99.71696273600695,,,,,
2020,Mayo,93.05258864813786,,,,,
2020,Junio,93.5649788373941,,,,,
2020,Julio,93.11665820630758,,,,,
2020,Agosto,89.62465281624871,,,,,
2020,Septiembre,86.87174832548851,,,,,
2020,Octubre,84.4552601081578,,,,,
2020,Noviembre,83.21833313161638,,,,,
2020,Diciembre,82.0385697892736,,,,,
2021,Enero,83.82314185005556,,,,,
2021,Febrero,86.55235063984662,,,,,
2021,Marzo,90.15702171365892,,,,,
2021,Abril,89.75438478349835,,,,,
2021,Mayo,88.43143185191153,,,,,
2021,Junio,90.00517401347898,,,,,
2021,Julio,90.12552687131276,,,,,
2021,Agosto,90.1531704052227,,,,,
2021,Septiembre,90.32938273911367,,,,,
2021,Octubre,90.71588485521067,,,,,
2021,Noviembre,91.21073124862598,,,,,
2021,Diciembre,92.84514594516622,,,,,
2022,Enero,94.0418644522278,,,,,
2022,Febrero,94.23323914598559,,,,,
2022,Marzo,95.97762848829085,,,,,
2022,Abril,98.53853237190295,,,,,
2022,Mayo,101.06768934677073,,,,,
2022,Junio,106.43832854608016,,,,,
2022,Julio,100.10901781372479,,,,,
2022,Agosto,98.28856404456582,,,,,
2022,Septiembre,100.15837631663705,,,,,
2022,Octubre,99.79,,,,,
2022,Noviembre,100.86,,,,,
2022,Diciembre,99.66657566507234,,,,,
2023,Enero,97.3536941216633,,,,,
2023,Febrero,97.12,,,,,
2023,Marzo,98.75085466952608,,,,,
2023,Abril,99.49,,,,,
2023,Mayo,98.92251943062216,,,,,
2023,Junio,110.01,,,,,
2023,Julio,108.86,,,,,
2023,Agosto,111.36585533429037,,,,,
2023,Septiembre,110.32355757265519,,,,,
2023,Octubre,106.2838507869781,,,,,
2023,Noviembre,104.472067096092,,,,,
2023,Diciembre,103.417244572151,,,,,
2024,Enero,104.66,,,,,
2024,Febrero,105.46,,,,,
2024,Marzo,106.32,,,,,
2024,Abril,107.89,,,,,
2024,Mayo,106.83,,,,,
2024,Junio,107.73,,,,,
2024,Julio,109.03,,,,,
2024,Agosto,107.52,,,,,
2024,Septiembre,107.72,,,,,
2024,Octubre,106.247372727272,,,,,
2024,Noviembre,105.33,,,,,
2024,Diciembre,105.79,,,,,
2025,Enero,105.17,,,,,
2025,Febrero,107.14,,,,,
2025,Marzo,108.16,,,,,
2025,Abril,106.01,,,,,
2025,Mayo,104.14,,,,,
2025,Junio,105.77,,,,,
2025,Julio,107.79,,,,,
2025,Agosto,104.74,,,,,
2025,Septiembre,108.34,,,,,
2025,Octubre,106.31,,,,,
2025,Noviembre,104.24,,,,,
2025,Diciembre,106.04,,,,,
2026,Enero,106.72776304175578,,,,,
