Año,Mes,IBC,,,,,
2019,Septiembre,268.3937523002859,,,,,
2019,Octubre,222.46704860374302,,,,,
2019,Noviembre,381.9814930290031,,,,,
2019,Diciembre,520.060189173586,,,,,
2020,Enero,418.72134019438806,,,,,
2020,Febrero,459.6352801583994,,,,,
2020,Marzo,400.62897009783813,,,,,
2020,Abril,302.5898362114367,,,,,
2020,Mayo,354.44347710344067,,,,,
2020,Junio,401.48191799130257,,,,,
2020,Julio,390.7403310696489,,,,,
2020,Agosto,432.9488518134864,,,,,
2020,Septiembre,389.1476099175865,,,,,
2020,Octubre,344.49686235739364,,,,,
2020,Noviembre,418.63400894933767,,,,,
2020,Diciembre,387.45139280747645,,,,,
2021,Enero,370.4872979667096,,,,,
2021,Febrero,371.13726571030753,,,,,
2021,Marzo,287.27542389197697,,,,,
2021,Abril,237.241878958171,,,,,
2021,Mayo,340.2938001843754,,,,,
2021,Junio,236.78632196497148,,,,,
2021,Julio,214.39188774428212,,,,,
2021,Agosto,267.4470313204882,,,,,
2021,Septiembre,243.73984571452408,,,,,
2021,Octubre,361.35029964462535,,,,,
2021,Noviembre,345.87800545193625,,,,,
2021,Diciembre,345.3860928719633,,,,,
2022,Enero,314.1075183610775,,,,,
2022,Febrero,329.69630813083336,,,,,
2022,Marzo,179.07707367707349,,,,,
2022,Abril,204.96368521707427,,,,,
2022,Mayo,268.7214063635081,,,,,
2022,Junio ,25.63,,,,,
2022,Julio,192.48418600759345,,,,,
2022,Agosto,110.42277895468828,,,,,
2022,Septiembre,104.24323942595734,,,,,
2022,Octubre,306.4828905755133,,,,,
2022,Noviembre,312.4697975599329,,,,,
2022,Diciembre,362.45641130370376,,,,,
2023,Enero,339.200977541764,,,,,
2023,Febrero,312.83965805591106,,,,,
2023,Marzo,329.0336,,,,,
2023,Abril,314.72125643870584,,,,,
2023,Mayo,232.33,,,,,
2023,Junio,230.884941414758,,,,,
2023,Julio,294.8527169522264,,,,,
2023,Agosto,250.56283166165167,,,,,
2023,Septiembre,314.18782965878165,,,,,
2023,Octubre,336.52,,,,,
2023,Noviembre,304.4504754255826,,,,,
2023,Diciembre,537.319736546466,,,,,
2024,Enero,371.36784966424665,,,,,
2024,Febrero,544.3686748762918,,,,,
2024,Marzo,467.5878260515049,,,,,
2024,Abril,517.0091257146893,,,,,
2024,Mayo,492.093786913819,,,,,
2024,Junio,437.6221412248598,,,,,
2024,Julio,448.1688749879122,,,,,
2024,Agosto,515.2523980881972,,,,,
2024,Septiembre,609.69,,,,,
2024,Octubre,545.86,,,,,
2024,Noviembre,825.38,,,,,
2024,Diciembre,932.7250215638671,,,,,
2025,Enero,814.7508426655235,,,,,
2025,Febrero,784.7367099409681,,,,,
2025,Marzo,775.1709386019182,,,,,
2025,Abril,594.6190318419519,,,,,
2025,Mayo,599.7222682700423,,,,,
2025,Junio,602.1679083280907,,,,,
2025,Julio,537.9616050566132,,,,,
2025,Agosto,637.9990865713016,,,,,
2025,Septiembre,515.069963010528,,,,,
2025,Octubre,659.3121919556191,,,,,
2025,Noviembre,885.2780354924874,,,,,
2025,Diciembre,785.3055934542274,,,,,
