año,mes,ipc_alimentos_y_bebidas_no_alcohólicas,inflación_mensual,inflación_anual,inflación_acumulada
2013,Marzo,96.33651696654667,0.007729984640242993,0.02138903073093945,0.011817582638465218
2013,Abril,96.15599011962047,-0.001873919180500283,0.023822724556885166,0.009921518263191542
2013,Mayo,95.28826851139266,-0.009024103512930814,0.023633298941157843,0.0008078819424481853
2013,Junio,94.6785748920256,-0.006398412195874559,0.01667933355449769,-0.005595699415099631
2013,Julio,94.16707901742858,-0.005402445856207083,0.007919211134536308,-0.010967914808189039
2013,Agosto,94.53415375112232,0.003898121695224299,0.007290782863092149,-0.007112547379629963
2013,Septiembre,95.01040673832767,0.005037893378293523,-0.006948546489928931,-0.002110486256683086
2013,Octubre,96.00775373131604,0.010497239483830523,0.004137893306674245,0.008364598947483648
2013,Noviembre,96.74326103023319,0.007660915606623853,0.009946547232297931,0.0160895950407276
2013,Diciembre,97.043260914452,0.003100989991696279,0.019240478705615516,0.019240478705615516
2014,Enero,98.66715901601118,0.016733754474622664,0.030572507795405546,0.016733754474622664
2014,Febrero,98.30101157029162,-0.0037109353240842857,0.028279618145730767,0.012960721269953845
2014,Marzo,99.77952228310873,0.015040645962832944,0.03573935850055343,0.02819630485283109
2014,Abril,100.33724967192863,0.005589597705603744,0.04348412976775107,0.03394350855934669
2014,Mayo,99.39818529994369,-0.009359080252402618,0.04313140382081393,0.024266748286289053
2014,Junio,98.96924254095913,-0.004315398291127592,0.0453182534044978,0.019846629311075725
2014,Julio,99.6530832364999,0.006909628466215123,0.05825819677443711,0.026893390612137136
2014,Agosto,100.38562421743426,0.007350911353097622,0.061897951524662265,0.034441992895608564
2014,Septiembre,100.40928748220882,0.00023572364030255422,0.05682409884582906,0.03468583532785563
2014,Octubre,100.65914945550384,0.0024884348804814493,0.04844812573373014,0.03726058365082552
2014,Noviembre,101.23917042585116,0.005762228008927561,0.04647258473345195,0.04323751563849476
2014,Diciembre,101.37421821964615,0.0013339480482399413,0.04462914028633147,0.04462914028633147
2015,Enero,101.81847686645308,0.0043823632340558305,0.031938872892149694,0.0044
2015,Febrero,102.2447509531117,0.004186608362033661,0.040119011186370734,0.0086
2015,Marzo,102.72482518735168,0.004695343572797439,0.029518109897200384,0.0133
2015,Abril,104.4020076533964,0.016326943978593578,0.04051095674595673,0.0299
2015,Mayo,104.63729006569145,0.002253619615018909,0.05270825367624421,0.0322
2015,Junio,105.07507022320716,0.004183787225767066,0.061694194332356345,0.0365
2015,Julio,104.76146005105645,-0.002984629669859129,0.0512616032404456,0.0334
2015,Agosto,104.807107049262,0.00043572319613827126,0.04404498020803116,0.0339
2015,Septiembre,104.96331791083864,0.0014904605801515647,0.045354673285942004,0.0354
